px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	0	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	2.23282e-314
8.44827	0.251375	-0.209216	7.56665e-16	1.04083e-17	8.44818	0.251553	8.45	0.25	-3.00027	0	2.23278e-314
8.47129	0.24809	-0.0920583	0.00110249	0.000108561	8.56759	0.241943	8.45	0.25	0	0	0.127226
8.46281	0.250684	-0.0949494	-6.29281e-05	-2.04655e-05	8.45582	0.253997	8.45	0.25	0	0	2.23278e-314
8.37001	0.25165	-1.16347	-0.0152582	-0.000694599	8.42544	0.254042	8.35	0.25	-1.81979	0	14.2213
8.30144	0.251369	-1.18499	-0.0103616	0.000474918	8.23962	0.24916	8.25	0.25	-1.81978	0	2.23278e-314
8.09528	0.230087	-1.73275	0.22821	0.0727075	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	19.781
7.99162	0.195689	-1.78909	0.321629	0.0943035	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	2.23278e-314
7.7964	0.329419	-2.2553	-0.857485	-0.431155	7.61269	0.155818	7.7	0.15	-2.99982	0	10.0742
7.66415	0.260685	-2.35627	-0.320254	-0.20784	7.54016	0.159641	7.55	0.15	-2.99982	0	2.23278e-314
7.54998	0.250646	-2.31725	-0.223363	-0.185513	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	0.621335
7.40524	0.161676	-2.24445	0.0212632	-0.0576385	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	2.23278e-314
7.24385	0.146425	-2.56837	0.037167	-0.0795585	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	2.91751
7.09553	0.0477133	-2.55571	0.205702	0.129916	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	2.23278e-314
6.99022	-0.0777269	-2.29032	0.440552	0.62146	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	3.30219
6.87713	-0.186346	-2.32091	0.56745	0.773551	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	2.23278e-314
6.76382	-0.245139	-2.39935	0.545572	0.561311	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	0.672085
6.66155	-0.360807	-2.47064	0.648028	0.677052	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	2.23278e-314
6.61959	-0.528949	-2.40653	0.981177	1.45079	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	3.71742
6.55898	-0.636881	-2.41804	1.06192	1.46362	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	2.23278e-314
6.5149	-0.797709	-2.49624	1.25092	1.7148	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	0.637101
6.47494	-0.961797	-2.57689	1.36529	1.72879	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	2.23278e-314
6.36392	-1.01498	-2.30864	1.14206	0.96113	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	8.76482
6.30064	-1.16203	-2.39919	1.19395	0.941707	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	2.23278e-314
6.39543	-1.36856	-2.46857	1.62354	1.8344	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	25.5539
6.39707	-1.54514	-2.59262	1.72336	1.82001	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	2.23278e-314
6.34121	-1.59504	-2.0992	1.60088	1.28677	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	12.3091
6.31999	-1.76485	-2.27439	1.63657	1.218	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	2.23278e-314
6.36425	-1.94509	-2.57829	1.79269	1.46143	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	5.7576
6.3803	-2.11414	-2.69536	1.84117	1.41047	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	2.23278e-314
6.36738	-2.24247	-2.46224	1.80937	1.13791	6.32593	-2.40018	6.35	-2.4	0	-2.72613	4.99365
6.38259	-2.42321	-2.58394	1.83532	1.06958	6.34927	-2.55175	6.35	-2.55	0	-2.72611	2.23278e-314
6.42849	-2.59031	-2.71946	1.90215	1.10399	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	0.791326
6.46346	-2.76431	-2.79745	1.93265	1.05235	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851	2.23278e-314
6.47151	-2.89018	-2.6078	1.91122	0.868676	6.46536	-3.00452	6.45	-3	0	-2.99754	2.83301
6.49188	-3.05543	-2.69819	1.91169	0.797913	6.44119	-3.14955	6.45	-3.15	0	-2.99754	2.23278e-314
6.54708	-3.21874	-2.81531	1.95825	0.822846	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312	0.588105
6.58679	-3.39299	-2.87938	1.96869	0.766985	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312	2.23278e-314
6.66913	-3.55824	-3.05475	2.03755	0.84794	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583	1.15468
6.74575	-3.71948	-3.08245	2.07547	0.832294	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581	2.23278e-314
6.80304	-3.85637	-2.90277	2.08527	0.738119	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396	1.41181
6.87192	-4.01532	-2.93899	2.10394	0.70192	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393	2.23278e-314
6.9284	-4.14796	-2.79641	2.11011	0.624856	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801	0.925652
6.98683	-4.30453	-2.83123	2.11122	0.571647	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799	2.23278e-314
7.01942	-4.41536	-2.48079	2.08566	0.423607	7.05156	-4.49706	7	-4.45	0.910054	-1.8201	4.68737
7.07432	-4.54212	-2.48935	2.09307	0.398976	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201	2.23278e-314
7.13951	-4.66404	-2.49985	2.10973	0.391497	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489	0.0269763
7.18803	-4.81064	-2.53701	2.0927	0.330506	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489	2.23278e-314
7.29686	-4.96516	-2.87939	2.15036	0.438742	7.3138	-5.05204	7.25	-5	1.81907	-2.72861	3.84177
7.35854	-5.12138	-2.90588	2.13572	0.378133	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861	2.23278e-314
7.41982	-5.25188	-2.80235	2.12925	0.321782	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	0.585336
7.47984	-5.40943	-2.8354	2.10961	0.263318	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	2.23278e-314
7.55831	-5.5447	-2.81883	2.11854	0.25047	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.14533
7.64065	-5.67222	-2.81495	2.13636	0.256767	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	2.23278e-314
7.70509	-5.79395	-2.71883	2.13402	0.220935	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	0.432374
7.76708	-5.93544	-2.734	2.12099	0.182472	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	2.23278e-314
7.88988	-6.08537	-3.17036	2.18362	0.320561	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	6.85688
7.9711	-6.22535	-3.18287	2.18388	0.296093	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	2.23278e-314
8.0515	-6.35344	-2.9774	2.17972	0.240714	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	1.82025
8.1525	-6.47401	-2.9641	2.20741	0.263325	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	2.23278e-314
8.22442	-6.58916	-2.80749	2.20522	0.225428	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	0.984673
8.29409	-6.7308	-2.81858	2.18836	0.180334	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	2.23278e-314
8.37701	-6.85404	-2.8162	2.19491	0.176206	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0.232719
8.46307	-6.97447	-2.80727	2.20436	0.176147	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	2.23278e-314
8.53064	-7.0806	-2.74146	2.20248	0.155224	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0.382001
8.58794	-7.21359	-2.75744	2.17569	0.101865	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	2.23278e-314
8.70257	-7.35576	-3.0969	2.21036	0.180452	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	4.19537
8.77085	-7.50476	-3.11669	2.18246	0.122996	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	2.23278e-314
8.81727	-7.62227	-2.72681	2.13888	0.00553204	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	5.69601
8.88122	-7.75621	-2.72753	2.12088	-0.0224891	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	2.23278e-314
8.95866	-7.88038	-2.82089	2.12635	-0.00203842	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0.368501
9.00723	-8.01963	-2.83408	2.09253	-0.0533828	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	2.23278e-314
9.02841	-8.12928	-2.49877	2.03439	-0.176565	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	4.39549
9.08083	-8.25249	-2.49536	2.01794	-0.186651	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	2.23278e-314
9.16193	-8.38389	-2.71076	2.04015	-0.111025	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	1.74895
9.19758	-8.52473	-2.73126	2.00061	-0.161835	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	2.23278e-314
9.22368	-8.64862	-2.5119	1.94503	-0.26626	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	2.00223
9.2653	-8.77732	-2.5099	1.9239	-0.275864	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	2.23278e-314
